iter	Accuracy	MultiClass
0	0.4689816676	1.093692425
1	0.4701830126	1.089046769
2	0.4723095833	1.084630179
3	0.4713407109	1.080520268
4	0.4719220031	1.07651031
5	0.4724402448	1.072712801
6	0.4719395203	1.069180241
7	0.4729501632	1.06580286
8	0.4729513253	1.062601779
9	0.4729277086	1.059549512
10	0.4736809423	1.056706279
11	0.4740301587	1.053955803
12	0.473561594	1.051315662
13	0.4742515023	1.048789494
14	0.4739396627	1.046492628
15	0.4747278061	1.044266688
16	0.4749507217	1.042133792
17	0.4747056239	1.040140624
18	0.4747343807	1.038219336
19	0.474967567	1.036320287
20	0.4752033289	1.034578394
21	0.4746877268	1.032880397
22	0.474718668	1.031281802
23	0.4746991826	1.029717135
24	0.4747789206	1.028381537
25	0.4748924482	1.026906605
26	0.4748690213	1.025660933
27	0.4747796833	1.024524802
28	0.4751673279	1.023365318
29	0.4751781274	1.022223995
30	0.4750057668	1.021164039
31	0.4751713212	1.020076921
32	0.4752785665	1.019042053
33	0.4750439202	1.018049183
34	0.4751597386	1.017183459
35	0.4752710369	1.016275166
36	0.4755860205	1.015417158
37	0.4755275107	1.014498685
38	0.4756807852	1.013734645
39	0.4764018112	1.012933073
40	0.4763562943	1.012269534
41	0.4761284124	1.011542432
42	0.4762749214	1.010872098
43	0.4770933291	1.010307187
44	0.477002252	1.009694705
45	0.4777995291	1.009054518
46	0.4776816115	1.008374995
47	0.477901459	1.007828386
48	0.4780006691	1.007283582
49	0.4781850205	1.006726614
50	0.4781927929	1.006211448
51	0.4779632714	1.005662621
52	0.4785457014	1.00527333
53	0.4788699191	1.004783965
54	0.4786689528	1.004319532
55	0.4790345506	1.003918867
56	0.4793817822	1.003498099
57	0.4797927452	1.003156077
58	0.4801429536	1.002720845
59	0.4802188714	1.002385481
60	0.4803743343	1.002011945
61	0.4805445805	1.001620317
62	0.4803125138	1.001281468
63	0.4806897022	1.000960757
64	0.4806873989	1.000658611
65	0.4809561699	1.000338718
66	0.480782864	1.000049121
67	0.4811932911	0.9997383047
68	0.481658549	0.9994710965
69	0.4816416716	0.9991722384
70	0.4815680152	0.9989446088
71	0.4815636954	0.9986459701
72	0.481553701	0.9983604455
73	0.481778067	0.998104471
74	0.4820655006	0.9978986392
75	0.4822113721	0.9976834613
76	0.4823174347	0.9974956365
77	0.4826691731	0.997245776
78	0.4829293292	0.9970083593
79	0.4833749742	0.9967909248
80	0.4834567474	0.9966070108
