iter	Passed	Remaining
0	104	208648
1	163	162937
2	219	145824
3	293	146528
4	332	132481
5	397	131954
6	445	126787
7	496	123517
8	543	120207
9	610	121509
10	688	124540
11	725	120120
12	793	121212
13	856	121461
14	905	119772
15	968	120123
16	1018	118807
17	1072	118109
18	1121	116928
19	1159	114820
20	1200	113174
21	1236	111172
22	1273	109459
23	1309	107800
24	1346	106389
25	1383	105011
26	1423	104007
27	1464	103138
28	1501	102068
29	1539	101066
30	1576	100152
31	1621	99711
32	1662	99073
33	1702	98453
34	1737	97546
35	1777	96989
36	1829	97073
37	1878	97008
38	1920	96550
39	1955	95834
40	2001	95641
41	2049	95536
42	2088	95072
43	2128	94624
44	2171	94323
45	2210	93884
46	2245	93300
47	2286	92979
48	2319	92354
49	2356	91887
50	2398	91655
51	2435	91248
52	2473	90874
53	2509	90417
54	2546	90048
55	2588	89844
56	2632	89722
57	2677	89665
58	2719	89456
59	2759	89226
60	2804	89156
61	2852	89176
62	2898	89103
63	2933	88727
64	2969	88393
65	3008	88167
66	3046	87899
67	3087	87729
68	3123	87402
69	3160	87134
70	3200	86949
71	3240	86766
72	3277	86514
73	3315	86295
74	3349	85964
75	3388	85775
76	3424	85533
77	3459	85251
78	3505	85232
79	3543	85037
80	3579	84799
81	3616	84591
82	3656	84461
83	3693	84252
84	3726	83950
85	3768	83864
86	3809	83772
87	3857	83820
88	3896	83655
89	3932	83449
90	3964	83157
91	3995	82870
92	4040	82852
93	4088	82890
94	4132	82858
95	4176	82824
96	4215	82711
97	4252	82526
98	4290	82384
99	4327	82231
100	4370	82177
101	4406	81993
102	4442	81824
103	4482	81710
104	4518	81552
105	4555	81393
106	4591	81228
107	4626	81047
108	4662	80886
109	4702	80802
110	4739	80662
111	4784	80654
112	4830	80658
113	4882	80773
114	4938	80946
115	4993	81106
116	5046	81218
117	5092	81224
118	5143	81309
119	5189	81298
120	5241	81400
121	5300	81589
122	5363	81853
123	5434	82225
124	5481	82215
125	5544	82458
126	5604	82660
127	5652	82669
128	5700	82673
129	5740	82568
130	5777	82423
131	5827	82464
132	5866	82354
133	5916	82383
134	5954	82259
135	5995	82169
136	6034	82063
137	6075	81974
138	6118	81916
139	6160	81850
140	6193	81660
141	6226	81472
142	6261	81314
143	6298	81183
144	6334	81038
145	6370	80899
146	6407	80766
147	6448	80690
148	6485	80573
149	6524	80473
150	6558	80313
151	6594	80178
152	6634	80087
153	6670	79960
154	6706	79824
155	6753	79824
156	6794	79756
157	6834	79679
158	6874	79592
159	6916	79544
160	6969	79604
161	7005	79479
162	7048	79430
163	7086	79330
164	7125	79247
165	7163	79141
166	7203	79066
167	7235	78903
168	7272	78793
169	7311	78709
170	7350	78622
171	7387	78509
172	7425	78419
173	7462	78309
174	7498	78200
175	7534	78084
176	7569	77959
177	7606	77855
178	7641	77743
179	7679	77645
180	7723	77618
181	7763	77546
182	7810	77552
183	7844	77421
184	7884	77351
185	7927	77313
186	7961	77191
187	7995	77060
188	8032	76971
189	8069	76872
190	8111	76821
191	8156	76808
192	8197	76750
193	8241	76720
194	8275	76599
195	8314	76530
196	8347	76398
197	8388	76340
198	8429	76289
199	8466	76201
200	8501	76086
201	8540	76017
202	8574	75903
203	8607	75783
204	8645	75702
205	8685	75640
206	8730	75618
207	8774	75596
208	8810	75502
209	8843	75376
210	8880	75297
211	8921	75239
212	8959	75163
213	9000	75119
214	9040	75059
215	9079	74988
216	9114	74892
217	9152	74812
218	9189	74731
219	9223	74628
220	9261	74550
221	9295	74449
222	9328	74337
223	9367	74267
224	9402	74177
225	9437	74081
226	9481	74053
227	9514	73948
228	9549	73851
229	9589	73797
230	9626	73720
231	9660	73622
232	9710	73645
233	9755	73627
234	9815	73719
235	9870	73778
236	9928	73858
237	9981	73896
238	10036	73951
239	10085	73957
240	10151	74094
